Function,testNum,clockTime,x_opt,f_opt,Distance,iterNum
f1,100,0.0006999969482421875,0.99696150979901432,9.2324227014550786e-06,9.2324227014550786e-06,14
f1,100,0.000885009765625,0.99893803351678168,1.1277728114711394e-06,1.1277728114711394e-06,14
f1,100,0.0005640983581542969,1.0012920941675452,1.6695073377093195e-06,1.6695073377093195e-06,12
f1,100,0.0005099773406982422,0.99689418611948977,9.646079860314849e-06,9.646079860314849e-06,12
f1,100,0.0005230903625488281,1.0002440943050956,5.9582029754423615e-08,5.9582029754423615e-08,12
f1,100,0.0010271072387695312,1.0006272237581901,3.9340964286260771e-07,3.9340964286260771e-07,14
f1,100,0.0008299350738525391,1.0010640642942592,1.1322328223872802e-06,1.1322328223872802e-06,10
f1,100,0.0010209083557128906,1.0001041443973888,1.0846055609192717e-08,1.0846055609192717e-08,12
f1,100,0.001010894775390625,0.99864767204062921,1.8287909097081112e-06,1.8287909097081112e-06,12
f1,100,0.0014278888702392578,0.99730388738561937,7.2690232294503332e-06,7.2690232294503332e-06,10
f1,100,0.000804901123046875,1.0011699713903297,1.3688330542382943e-06,1.3688330542382943e-06,12
f1,100,0.0005340576171875,1.0012333615370708,1.5211806811965545e-06,1.5211806811965545e-06,14
f1,100,0.0006191730499267578,0.99773111019967531,5.1478609259802965e-06,5.1478609259802965e-06,14
f1,100,0.0004620552062988281,0.99713255354580066,8.2222491677441667e-06,8.2222491677441667e-06,12
f1,100,0.0006189346313476562,1.0014997321746846,2.2491965958604254e-06,2.2491965958604254e-06,14
f1,100,0.0005018711090087891,0.99684482909603744,9.9551034331568644e-06,9.9551034331568644e-06,12
f1,100,0.0005328655242919922,0.99923184409230792,5.9006349850676543e-07,5.9006349850676543e-07,12
f1,100,0.0003809928894042969,1.0010466808503071,1.0955408022983448e-06,1.0955408022983448e-06,10
f1,100,0.000698089599609375,0.99926804418845827,5.3575931002747268e-07,5.3575931002747268e-07,12
f1,100,0.001199960708618164,1.0006280505640759,3.9444751109840581e-07,3.9444751109840581e-07,14
f1,100,0.0004620552062988281,1.000626508166043,3.9251248207250455e-07,3.9251248207250455e-07,10
f1,100,0.0006520748138427734,0.99792259422831697,4.3156147402356737e-06,4.3156147402356737e-06,12
f1,100,0.0005459785461425781,0.99844612333505478,2.4145326898983299e-06,2.4145326898983299e-06,10
f1,100,0.00047397613525390625,1.0036872989757215,1.3596173736418748e-05,1.3596173736418748e-05,12
f1,100,0.0005290508270263672,0.99839375008723663,2.5800387822849657e-06,2.5800387822849657e-06,12
f1,100,0.0005369186401367188,1.0001326427944242,1.7594110834906473e-08,1.7594110834906473e-08,14
f1,100,0.0006070137023925781,0.99867157487584413,1.7647133104814472e-06,1.7647133104814472e-06,14
f1,100,0.0004711151123046875,1.0006326484683921,4.0024408454186755e-07,4.0024408454186755e-07,12
f1,100,0.0006170272827148438,1.0001878616152726,3.5291986444363488e-08,3.5291986444363488e-08,14
f1,100,0.0004658699035644531,1.0021008548760708,4.4135912102838404e-06,4.4135912102838404e-06,12
f1,100,0.0005168914794921875,1.0001203124972333,1.4475096898891593e-08,1.4475096898891593e-08,12
f1,100,0.0004742145538330078,1.0013083542362438,1.7117908075459098e-06,1.7117908075459098e-06,12
f1,100,0.000614166259765625,1.0002080128172692,4.326933211729056e-08,4.326933211729056e-08,14
f1,100,0.0004639625549316406,0.99773724334515801,5.1200676790541522e-06,5.1200676790541522e-06,12
f1,100,0.0006909370422363281,0.99976559473784754,5.4945826888364024e-08,5.4945826888364024e-08,14
f1,100,0.0005900859832763672,0.99959576862434318,1.6340300501571647e-07,1.6340300501571647e-07,14
f1,100,0.0005278587341308594,1.0019572140347306,3.8306867777837539e-06,3.8306867777837539e-06,12
f1,100,0.0004730224609375,0.99875400611178888,1.5525007694972004e-06,1.5525007694972004e-06,12
f1,100,0.0006151199340820312,0.9980199671172969,3.920530216583451e-06,3.920530216583451e-06,14
f1,100,0.0005500316619873047,0.99877066381992474,1.5112674436323914e-06,1.5112674436323914e-06,14
f1,100,0.0006039142608642578,1.0022469846558775,5.0489400438280541e-06,5.0489400438280541e-06,14
f1,100,0.0005381107330322266,1.0001136591053723,1.2918392133798307e-08,1.2918392133798307e-08,14
