Function,testNum,clockTime,x_opt,f_opt,Distance,iterNum
f3,100,0.0004050731658935547,2.0127355069921871,5.0000000000042668,4.2668091282394016e-12,6
f3,100,0.00032591819763183594,2.0404460305385062,5.000000004377795,4.3777950153867096e-09,6
f3,100,0.0003521442413330078,2.0143842613901359,5.0000000000088578,8.8578033796693489e-12,6
f3,100,0.0005190372467041016,1.9750354998024053,5.0000000002420677,2.4206769921875093e-10,8
f3,100,0.0004417896270751953,1.9864492221500614,5.0000000000061915,6.191491763729573e-12,8
f3,100,0.0005180835723876953,1.9791886071434976,5.000000000081247,8.1247009120488656e-11,8
f3,100,0.0006968975067138672,1.9935540720521647,5.0000000000000719,7.1942451995710144e-14,6
f3,100,0.0010929107666015625,2.0041264768121656,5.0000000000000053,5.3290705182007514e-15,10
f3,100,0.0013511180877685547,1.9934795795071523,5.0000000000000773,7.7271522513910895e-14,8
f3,100,0.0005979537963867188,2.001344723873355,5.0,0.0,8
f3,100,0.0007679462432861328,2.0024150855390954,5.0,0.0,8
f3,100,0.00039196014404296875,1.9976780180293199,5.0,0.0,8
f3,100,0.00045299530029296875,1.9948943544792317,5.0000000000000178,1.7763568394002505e-14,8
f3,100,0.0007328987121582031,1.9727292069062752,5.0000000004113261,4.113260843041644e-10,10
f3,100,0.0003578662872314453,2.0093290194461799,5.000000000000659,6.5902838741749292e-13,6
f3,100,0.00034499168395996094,2.0060009776654901,5.0000000000000471,4.7073456244106637e-14,6
f3,100,0.0005280971527099609,2.0230362711055614,5.0000000001494422,1.4944223636348397e-10,10
f3,100,0.0002498626708984375,2.0025684410420093,5.0,0.0,4
f3,100,0.0005350112915039062,1.9743662025787045,5.0000000002837117,2.837117207832307e-10,10
f3,100,0.0003991127014160156,1.987829167348877,5.0000000000032498,3.2498448376827582e-12,8
f3,100,0.00034999847412109375,2.0085182117524103,5.0000000000003819,3.8191672047105385e-13,6
f3,100,0.0010750293731689453,2.0264610758462895,5.0000000003432774,3.432774065004196e-10,10
f3,100,0.0005311965942382812,2.0229136379374366,5.0000000001447322,1.4473222620381421e-10,10
f3,100,0.0004169940948486328,2.0253651395391126,5.0000000002663318,2.6633184546653865e-10,8
f3,100,0.0005309581756591797,2.0156980528833901,5.0000000000149649,1.496491819352741e-11,8
f3,100,0.0006258487701416016,1.9573911730486258,5.0000000059840808,5.9840807864475209e-09,6
f3,100,0.0008580684661865234,1.9668016331371425,5.0000000013387522,1.3387522201924185e-09,8
f3,100,0.0003228187561035156,2.0004413434857709,5.0,0.0,6
f3,100,0.0004868507385253906,1.9982769166874343,5.0,0.0,8
f3,100,0.0003368854522705078,2.0131051810930116,5.0000000000050662,5.0661697059695143e-12,6
f3,100,0.0005130767822265625,2.0116594496852898,5.0000000000025127,2.5126567493316543e-12,10
f3,100,0.0003719329833984375,1.9972986231113752,5.0,0.0,8
f3,100,0.0003619194030761719,1.9755781035842783,5.0000000002121663,2.1216628454112652e-10,6
f3,100,0.0007419586181640625,2.0126395457885775,5.0000000000040776,4.0776271248432749e-12,8
f3,100,0.00072479248046875,1.9888110576615192,5.000000000001962,1.9619861291175766e-12,8
f3,100,0.0008411407470703125,2.0074970818146225,5.0000000000001776,1.7763568394002505e-13,8
f3,100,0.0003898143768310547,1.9803327363539014,5.000000000057871,5.787104129240106e-11,6
f3,100,0.0007011890411376953,2.0229389934362039,5.0000000001456959,1.4569589978918884e-10,10
f3,100,0.0008790493011474609,1.982563882953881,5.0000000000280993,2.8099300664052862e-11,8
f3,100,0.00031304359436035156,1.980408389955143,5.0000000000565485,5.6548543625467573e-11,6
f3,100,0.0004429817199707031,1.9948862335214854,5.0000000000000178,1.7763568394002505e-14,6
f3,100,0.00045418739318847656,2.0200689688309512,5.0000000000653353,6.5335292731560912e-11,8
f3,100,0.00034499168395996094,1.9861871120369554,5.0000000000069456,6.9455552420549793e-12,6
f3,100,0.0003230571746826172,2.0196563577977722,5.0000000000576792,5.7679194753745833e-11,6
f3,100,0.0006098747253417969,1.9749778768456412,5.0000000002454401,2.4544011267835231e-10,8
f3,100,0.0006101131439208984,2.012108671223273,5.0000000000031521,3.1521452115157444e-12,8
f3,100,0.0004570484161376953,2.0224539411531595,5.0000000001281606,1.2816059324904927e-10,8
f3,100,0.0009560585021972656,2.0107698837327663,5.0000000000015605,1.56052948341312e-12,10
f3,100,0.0004711151123046875,1.9951281128967571,5.0000000000000133,1.3322676295501878e-14,8
f3,100,0.00031495094299316406,2.0219604437145442,5.0000000001121618,1.1216183537499091e-10,6
f3,100,0.0005209445953369141,2.0191942075128839,5.0000000000500062,5.0006221385956451e-11,10
f3,100,0.0006930828094482422,2.0271602756131029,5.0000000004014256,4.014255594597671e-10,10
f3,100,0.0009109973907470703,1.9950411022979133,5.0000000000000151,1.5099033134902129e-14,8
f3,100,0.0007960796356201172,1.9935658214130916,5.0000000000000711,7.1054273576010019e-14,8
f3,100,0.0004818439483642578,1.9660596129959229,5.0000000015286243,1.5286243382206521e-09,6
f3,100,0.0004918575286865234,2.0043004608856374,5.0000000000000062,6.2172489379008766e-15,6
f3,100,0.0006771087646484375,1.9659594503372544,5.0000000015558914,1.555891415705446e-09,6
f3,100,0.00055694580078125,1.9853881120227301,5.0000000000097327,9.7326591230739723e-12,8
f3,100,0.001116037368774414,2.0440070192011612,5.000000007263262,7.2632619918522323e-09,8
f3,100,0.0008878707885742188,2.0290336095094599,5.0000000005989715,5.9897153903420985e-10,8
f3,100,0.00045108795166015625,1.9729670038158875,5.00000000039027,3.9027003850833353e-10,8
f3,100,0.00034689903259277344,1.9769080560760237,5.0000000001516218,1.5162182620542808e-10,6
f3,100,0.0003418922424316406,1.9972677446127047,5.0,0.0,6
f3,100,0.0002639293670654297,1.9942943187573667,5.0000000000000346,3.4638958368304884e-14,4
f3,100,0.0004839897155761719,1.9821046169384249,5.0000000000328431,3.2843061603671231e-11,8
f3,100,0.00034499168395996094,1.9982697253857469,5.0,0.0,6
f3,100,0.0008769035339355469,2.0107345073917666,5.0000000000015303,1.5303314171433158e-12,8
f3,100,0.0008380413055419922,1.9775989245803842,5.0000000001263611,1.2636114377073682e-10,8
f3,100,0.0007731914520263672,2.0176629166320379,5.000000000030365,3.0365043812707881e-11,8
f3,100,0.0005209445953369141,2.0085103177977648,5.0000000000003801,3.801403636316536e-13,6
f3,100,0.0009789466857910156,2.0157248264845462,5.0000000000151186,1.5118573060135532e-11,8
f3,100,0.0007050037384033203,1.9797902198739583,5.0000000000681348,6.8134831110455707e-11,8
f3,100,0.0009050369262695312,2.013737122311789,5.00000000000672,6.7199579234511475e-12,8
